id,name,dateOfBirth,role,battingStyle,bowlingStyle,country,playerImg,team
"FA7D13CE-F737-4C8F-BF2C-E6F7B9968940","Kwena Maphaka","2006-04-08T00:00:00","Bowler","Left Handed Bat","Left-arm fast-medium","South Africa","https://h.cricapi.com/img/icon512.png","Rajasthan Royals"
"2518D07C-55EA-416D-99D8-E847CBA97EA2","Yudhvir Singh Charak","1997-09-13T00:00:00","Bowler","Right Handed Bat","Right-arm fast-medium","India","https://h.cricapi.com/img/icon512.png","Rajasthan Royals"
"0E2B638B-E356-41BF-B986-F0F0F84BAD38","Vignesh Puthur","2001-03-02T00:00:00","Bowler","Right Handed Bat","Left-arm wrist-spin","India","https://h.cricapi.com/img/icon512.png","Rajasthan Royals"
"3DF5944D-DCC5-41FD-AEC1-060B4C513536","Kulwant Khejroliya","1992-03-13T00:00:00","Bowler","Left Handed Bat","Left-arm fast-medium","India","https://h.cricapi.com/img/icon512.png","Gujarat Titans"
"A81DA20A-E420-476A-BAF6-204FC219DBDD","Kagiso Rabada","1995-05-25T00:00:00","Bowler","Left Handed Bat","Right-arm fast","South Africa","https://h.cricapi.com/img/players/a81da20a-e420-476a-baf6-204fc219dbdd.jpg","Gujarat Titans"
"BAD40656-82DA-4D9F-949A-37B7CBCD8303","Prithvi Raj Yarra","1998-02-20T00:00:00","Bowler","Left Handed Bat","Left-arm fast-medium","India","https://h.cricapi.com/img/icon512.png","Gujarat Titans"
"2A8D8640-2213-4CF6-AC7E-309D8B733E96","Mohammed Siraj","1994-03-13T00:00:00","Bowler","Right Handed Bat","Right-arm fast","India","https://h.cricapi.com/img/players/2a8d8640-2213-4cf6-ac7e-309d8b733e96.jpg","Gujarat Titans"
"085D49B0-D5E5-4FC5-955B-39758A134545","Rahul Tewatia","1993-05-20T00:00:00","Batting Allrounder","Left Handed Bat","Right-arm legbreak","India","https://h.cricapi.com/img/players/085d49b0-d5e5-4fc5-955b-39758a134545.jpg","Gujarat Titans"
"4B661541-36CF-4DBE-96F0-3D58F971A2A9","Ashok Sharma","2002-06-17T00:00:00","Bowler","Right Handed Bat","Right-arm fast-medium","India","https://h.cricapi.com/img/icon512.png","Gujarat Titans"
"48DA9A39-30D0-4B7D-9F61-44D221B653FA","Gurnoor Brar","2000-05-25T00:00:00","Bowler","Left Handed Bat","Right-arm fast","India","https://h.cricapi.com/img/icon512.png","Gujarat Titans"
